Season,CPI
2007/3/31,101.40 
2007/6/30,102.01 
2007/9/30,104.48 
2007/12/31,106.58 
2008/3/31,109.89 
2008/6/30,109.34 
2008/9/30,109.34 
2008/12/31,107.92 
2009/3/31,108.57 
2009/6/30,107.48 
2009/9/30,108.45 
2009/12/31,109.76 
2010/3/31,110.96 
2010/6/30,110.40 
2010/9/30,112.18 
2010/12/31,114.78 
2011/3/31,117.08 
2011/6/30,117.67 
2011/9/30,119.20 
2011/12/31,119.44 
2012/3/31,121.35 
2012/6/30,120.14 
2012/9/30,121.35 
2012/12/31,122.32 
2013/3/31,123.78 
2013/6/30,123.28 
2013/9/30,125.01 
2013/12/31,125.39 
2014/3/31,126.64 
2014/6/30,126.26 
2014/9/30,127.27 
2014/12/31,127.40 
2015/3/31,128.67 
2015/6/30,128.15 
2015/9/30,129.31 
2015/12/31,129.57 
2016/3/31,131.77 
2016/6/30,130.72 
2016/9/30,132.03 
2016/12/31,132.29 
